Northing,Easting,Zone
5081113.20539626,676222.638545393,19
5081771.1496531,677941.537322541,19
5082611.64113447,673067.123902306,19
5083314.09154814,679336.432317275,19
5083564.8501175,689825.804201485,19
5083564.8501175,689825.804201485,19
5083564.8501175,689825.804201485,19
5083564.8501175,689825.804201485,19
5083748.4348792,674377.704758326,19
5083900.95630541,674029.106880956,19
5083881.11860302,674236.835630693,19
5084708.96608552,679422.189290525,19
5084768.24151223,680679.102571934,19
5084785.98410875,680658.396523347,19
5085265.29802122,680770.642961835,19
5085372.09682063,680798.965754807,19
5085297.44089591,688429.493449452,19
5085503.01308195,680507.184253736,19
5085637.00876861,680511.115192287,19
5085470.66876851,688548.916303784,19
5085837.87593603,688114.734553675,19
5085884.53661652,678935.277533462,19
5085884.53661652,678935.277533462,19
5086136.65685709,678852.141744815,19
5086136.65685709,678852.141744815,19
5086136.65685709,678852.141744815,19
5086061.06402418,688008.725075437,19
5086349.01244197,686545.429386663,19
5086434.32226741,686623.360101192,19
5086304.11028922,686792.959495901,19
5086306.61502613,686787.527127081,19
5086606.77936291,674218.837638702,19
5086484.66137269,686820.965081525,19
5086805.0182118,686926.951470342,19
5086690.80070662,687077.278355464,19
5087007.47670929,686664.280993352,19
5086932.38130108,686883.977715185,19
5086951.26601225,686894.352129994,19
5087355.08415665,675366.366217796,19
5087726.35176782,673969.927649653,19
5087812.46140399,686350.552775192,19
5087813.19850991,686308.618896866,19
5088042.34812962,683733.912338204,19
5087859.39051705,686472.233302493,19
5088084.23554461,684024.163115992,19
5088429.56086658,683786.657403094,19
5088367.46606764,683975.686136757,19
5088364.95498749,684380.082378939,19
5088638.97759127,683963.10263286,19
5088565.90835009,684089.674158057,19
5088565.90835009,684089.674158057,19
5088648.11557451,684426.188364695,19
5088553.69611549,684630.61856837,19
5088607.7959133,684625.044552811,19
5088607.7959133,684625.044552811,19
5088687.884401,683210.321583611,19
5088757.66754659,683261.097548239,19
5088698.99675472,683494.783414118,19
5088951.42871842,683015.267904245,19
5088951.42871842,683015.267904245,19
5089000.8181089,683914.308373533,19
5089015.29406607,684198.579496699,19
5089230.8020869,682452.827701303,19
5089242.84807791,683295.281432212,19
5089146.94281071,683888.38765786,19
5089194.48535331,685752.128934487,19
5089370.98929308,677498.900919227,19
5089343.15074301,681245.622005263,19
5089343.15074301,681245.622005263,19
5089313.11440427,682559.024659941,19
5089313.11440427,682559.024659941,19
5089274.84667278,682810.38916611,19
5089274.84667278,682810.38916611,19
5089274.84667278,682810.38916611,19
5089337.63673023,682658.780412613,19
5089425.34272651,682785.529983071,19
5089369.90574029,682903.711581062,19
5089401.93723084,682896.400885082,19
5089368.47135001,683129.233656373,19
5089372.32603521,683596.141960829,19
5089431.70934335,683678.485878113,19
5089431.70934335,683678.485878113,19
5089297.65057882,683919.284675283,19
5089323.01255003,683912.089512595,19
5089323.01255003,683912.089512595,19
5089366.38543448,683867.424475709,19
5089479.00062679,677616.362939608,19
5089479.00062679,677616.362939608,19
5089451.71543137,682955.137045463,19
5089513.02147414,682892.491664564,19
5089528.38387942,682863.018627601,19
5089614.57120127,682949.615974815,19
5089600.93180528,683149.731875316,19
5089595.10304534,683354.272725417,19
5089499.40056553,683621.384410963,19
5089517.83624648,683605.628862329,19
5089517.83624648,683605.628862329,19
5089557.96014656,683571.305769438,19
5089557.96014656,683571.305769438,19
5089568.04612504,683562.70403311,19
5089571.40735231,683559.810953513,19
5089571.40735231,683559.810953513,19
5089521.31253663,683819.673689417,19
5089530.26044861,683832.24858495,19
5089571.40196207,683836.261656742,19
5089610.82228203,683838.114586711,19
5089515.6179206,683852.508564126,19
5089515.6179206,683852.508564126,19
5089545.86659366,683957.130525654,19
5089545.86659366,683957.130525654,19
5089626.90663496,683989.865186424,19
5089626.90663496,683989.865186424,19
5089627.24632032,683900.472731919,19
5089770.20157773,677905.433825133,19
5089775.46076698,681483.148295089,19
5089794.96230584,682631.138842487,19
5089674.56640637,683472.563098312,19
5089690.11585595,683730.002706416,19
5089705.83012723,683749.863305281,19
5089705.83012723,683749.863305281,19
5089721.60170412,683752.963211233,19
5089721.60170412,683752.963211233,19
5089740.55592603,683803.219053855,19
5089740.55592603,683803.219053855,19
5089718.33041487,683859.743386253,19
5089718.33041487,683859.743386253,19
5089718.33041487,683859.743386253,19
5089978.91179573,681564.916157645,19
5089902.63969951,682816.48465473,19
5089851.33150998,683736.613041606,19
5089851.33150998,683736.613041606,19
5089988.5133036,683667.982795942,19
5089988.5133036,683667.982795942,19
5089988.5133036,683667.982795942,19
5090028.40858272,683685.804517016,19
5090049.17303656,685140.586566578,19
5090170.45812871,681385.430588844,19
5090170.45812871,681385.430588844,19
5090218.50476827,681404.655560452,19
5090213.67451383,683240.643877157,19
5090213.67451383,683240.643877157,19
5090361.92715659,678158.036277284,19
5090363.39315641,679023.640237533,19
5090306.46434983,681385.780913702,19
5090306.46434983,681385.780913702,19
5090440.32893736,681445.694572833,19
5090278.31675217,681487.45886396,19
5090433.84699159,681482.423310646,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090388.1774484,682317.641233226,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090412.10926421,682273.258823915,19
5090420.52229997,682268.200759655,19
5090420.52229997,682268.200759655,19
5090319.89615988,683185.281695838,19
5090411.27546061,683427.796539104,19
5090416.50880327,683428.029006726,19
5090554.61097209,678888.00964511,19
5090613.48416643,680475.208639711,19
5090532.48194788,681039.366861382,19
5090644.66393825,681000.860292364,19
5090644.66393825,681000.860292364,19
5090514.34796476,681504.881851549,19
5090610.54447112,681720.658207953,19
5090543.59655274,681882.820520106,19
5090543.59655274,681882.820520106,19
5090543.59655274,681882.820520106,19
5090583.72315015,681904.911170849,19
5090583.72315015,681904.911170849,19
5090583.72315015,681904.911170849,19
5090583.72315015,681904.911170849,19
5090597.97011804,681950.64835303,19
5090623.09922252,681905.302867107,19
5090623.09922252,681905.302867107,19
5090623.09922252,681905.302867107,19
